clusterID,DV,AP_dist,power,effects,area
154,-917.139997887047,1,4,1.07405640742598,m2_1
154,-917.139997887047,2,4,1.06515643162793,m2_1
154,-917.139997887047,3,4,1.19374901979257,m2_1
155,-917.139997887047,0,2,0.0476835884169471,m2_1
155,-917.139997887047,1,2,1.04694600583119,m2_1
155,-917.139997887047,2,2,3.51273102681176,m2_1
155,-917.139997887047,3,2,1.06330101597885,m2_1
155,-917.139997887047,0,4,0.114331336693013,m2_1
155,-917.139997887047,1,4,0.872824508522039,m2_1
155,-917.139997887047,2,4,1.49923391449781,m2_1
155,-917.139997887047,3,4,2.40691224754192,m2_1
157,-917.139997887047,0,2,0.125193597656381,m2_1
157,-917.139997887047,1,2,0.434362351318058,m2_1
157,-917.139997887047,2,2,1.74945913677247,m2_1
157,-917.139997887047,3,2,0.831066082866032,m2_1
157,-917.139997887047,0,4,0.0560812637869146,m2_1
157,-917.139997887047,1,4,0.468988945624719,m2_1
157,-917.139997887047,2,4,1.16261458921025,m2_1
157,-917.139997887047,3,4,1.26656028096155,m2_1
158,-917.139997887047,0,2,0.359692262914512,m2_1
158,-917.139997887047,1,2,0.767879260894568,m2_1
158,-917.139997887047,2,2,1.06265748504796,m2_1
158,-917.139997887047,3,2,0.997388393577451,m2_1
158,-917.139997887047,0,4,0.386840419252183,m2_1
158,-917.139997887047,1,4,0.79852996602383,m2_1
158,-917.139997887047,2,4,1.12454570690599,m2_1
158,-917.139997887047,3,4,1.18157979442051,m2_1
159,-895.996913919364,0,2,0.149046160799021,m2_1
159,-895.996913919364,1,2,0.770576731702651,m2_1
159,-895.996913919364,2,2,1.15957043021871,m2_1
159,-895.996913919364,3,2,1.08942650275441,m2_1
159,-895.996913919364,0,4,0.111246295102675,m2_1
159,-895.996913919364,1,4,0.757908302623952,m2_1
159,-895.996913919364,2,4,1.11524050554722,m2_1
159,-895.996913919364,3,4,1.19536289138971,m2_1
162,-874.853829951681,0,2,0.181439521480108,m2_1
162,-874.853829951681,1,2,1.02814544712955,m2_1
162,-874.853829951681,2,2,1.74743957150901,m2_1
162,-874.853829951681,3,2,1.22265744957227,m2_1
162,-874.853829951681,0,4,0.405674311994858,m2_1
162,-874.853829951681,1,4,0.742349977230838,m2_1
162,-874.853829951681,2,4,1.63417237575547,m2_1
162,-874.853829951681,3,4,1.26972642008157,m2_1
163,-874.853829951681,0,2,0.139214324844475,m2_1
163,-874.853829951681,1,2,2.46941335724299,m2_1
163,-874.853829951681,2,2,1.25593030589868,m2_1
163,-874.853829951681,3,2,1.41243939075999,m2_1
163,-874.853829951681,0,4,0.0449367516752973,m2_1
163,-874.853829951681,1,4,1.07579176674939,m2_1
163,-874.853829951681,2,4,2.56284808613629,m2_1
163,-874.853829951681,3,4,3.48030318958664,m2_1
164,-874.853829951681,0,2,0.128732571611301,m2_1
164,-874.853829951681,1,2,0.80903181787867,m2_1
164,-874.853829951681,2,2,1.08971434001302,m2_1
164,-874.853829951681,3,2,0.919273911700376,m2_1
164,-874.853829951681,0,4,0.130981359901966,m2_1
164,-874.853829951681,1,4,0.733802754367268,m2_1
164,-874.853829951681,2,4,1.16850854106249,m2_1
164,-874.853829951681,3,4,0.604933968196251,m2_1
166,-853.710745983998,0,2,0.223336903234466,m2_1
166,-853.710745983998,1,2,0.468429101430221,m2_1
166,-853.710745983998,2,2,1.53558038801853,m2_1
166,-853.710745983998,3,2,1.1783430997529,m2_1
166,-853.710745983998,0,4,0.0491114441256315,m2_1
166,-853.710745983998,1,4,0.579857534323413,m2_1
166,-853.710745983998,2,4,0.947717369227519,m2_1
166,-853.710745983998,3,4,1.79146008700225,m2_1
167,-874.853829951681,0,2,0.159868209695702,m2_1
167,-874.853829951681,1,2,0.227313767847528,m2_1
167,-874.853829951681,2,2,0.571538227537544,m2_1
167,-874.853829951681,3,2,1.70508739556929,m2_1
167,-874.853829951681,0,4,0.128268675341729,m2_1
167,-874.853829951681,1,4,0.362704420144684,m2_1
167,-874.853829951681,2,4,0.244272820932147,m2_1
167,-874.853829951681,3,4,0.827402476204604,m2_1
168,-874.853829951681,0,2,0.103436680083154,m2_1
168,-874.853829951681,1,2,0.476143812832374,m2_1
168,-874.853829951681,2,2,1.42948205480234,m2_1
168,-874.853829951681,3,2,1.28972680084772,m2_1
168,-874.853829951681,0,4,0.0990249155848604,m2_1
168,-874.853829951681,1,4,0.660063598955034,m2_1
168,-874.853829951681,2,4,0.943350631848019,m2_1
168,-874.853829951681,3,4,1.10762653302775,m2_1
